ticker,w_sample,w_tiny,w_big
AA,-0.0007431769614712117,-0.014730662042938604,0.08139448923079012
ABBV,0.004181941374001239,-0.1011970264328754,-0.004712424453434262
ADBE,-0.0017506048166110995,-0.029315646576392997,-0.04194508049206523
AGG,0.02224192761983253,-0.10303820678607331,-0.07588182079660404
ALL,-0.003047967156768319,0.10980490180748641,0.059779406951346245
AMD,0.0031137027385656478,-0.1115566612696696,-0.10945705752345476
AMGN,-0.0028199582559369257,0.019341545632403805,0.027567621489812365
AMZN,0.0015651486838096384,0.0554500595399714,-0.00028826304678755433
APD,0.00113459286666185,0.13478863136856234,0.05166524706867087
ARKK,-0.0031878335333645766,0.10173374305818685,0.05887403560538898
AVGO,0.0013429133707800417,0.15434410153838943,0.05225536161484852
AXP,-0.003156607811168412,-0.09988644147569674,-0.013684834049251731
BA,0.0009486350757110352,-0.02542377767103306,-0.017823243262998677
BAC,0.001605924275255974,0.1662590038579164,0.022461436846928598
BDX,0.0004898624354855482,0.014568692958272853,0.08353569064840013
BHP,0.0050983293158253324,0.33817430445563423,0.1628021299135317
BIIB,-0.0008350236695752236,0.19546363939569686,0.08271165697543278
BK,-0.0027801699555715285,0.0029931857912964613,-0.04350642381568974
BLK,-0.0019040907516168382,-0.23913747772290603,-0.01639571198906609
BMY,0.0004676959981086985,0.0995652604129858,0.04957631874233324
BND,-0.12609765482669513,-0.024893434968394856,0.04823526319537238
BSV,0.043198411546535906,-0.058583420844103076,-0.09850417127101926
C,0.0015633818988710555,-0.0047695042703899725,0.0034828787114250656
CAT,-0.0036246946520701747,-0.020051376896055715,-0.03636138714095391
CI,0.0002773358695050114,-0.12584535487042522,-0.11401160424869869
CL,-0.006387594967663458,-0.1741305933869252,-0.09338354863898711
CMI,-0.001209353922877091,0.04489277741886034,0.04775730767758648
COF,0.002033332773753167,0.05715145450119317,0.04008140868133009
COP,-0.0014297863205450171,-0.007898262083966268,-0.007127391326918674
COST,-0.0003200632505152025,0.054989155145923625,0.088653927972326
CRM,-0.0007625354386333303,-0.26407531347170876,-0.20628845028227719
CSCO,-0.003466192667815611,0.08581089175898489,0.1003285639737911
CSX,0.0010736825411738113,0.04716278463973823,0.03217563027908197
CVS,-0.0021282121623255414,0.20095781196306214,0.04342962557806957
CVX,-0.0005635275545108616,-0.08539219625942926,-0.06762315749017306
DD,-0.0007741646027945918,0.21021277818971495,0.04858335665429345
DE,0.0030440179914277003,0.20708028641475434,0.1086661474353445
DIA,0.04934092759588951,0.12382397912447973,0.09609298746158107
DIS,0.0022776472743162896,0.1306731751757471,0.0481201494925975
DOW,-0.0021976247154703327,0.09675476157575078,0.09921196558806225
EFA,-0.0214829968437638,-0.11311887792591357,-0.1491493530589099
EL,0.0006081308613188005,0.07133317980173164,0.04972613701177857
EMR,0.00028873248848487374,-0.1782185499166065,-0.03506239216683074
EOG,-4.809590171905078e-05,-0.04045723691063714,-0.03216663431592897
ETN,0.000446186564765758,-0.1171016553687975,-0.050915225507301855
EWC,0.0012392115494222814,0.10005814660440136,0.08223661882773534
EWG,0.007879654348375826,-0.09006200483548836,-0.023946682397920506
EWH,0.0011916743855737097,0.22277197528051523,0.019967645642028756
EWJ,-0.0025115548017993674,0.11801520091660449,0.08241719582411587
EWT,0.0006896878749660759,-0.05022345422416336,-0.08137246619949554
EWU,-0.00013325284419523503,-0.1635003043377521,-0.0895205165347379
EWZ,-0.0008941644522052367,-0.22842137011644154,-0.1003628205501854
FCX,2.6738861588410765e-05,0.06689252757154178,0.04872167880514423
FDN,0.004017144503720733,0.045370304998581086,0.08807930228192049
FDX,-0.002057797623595179,0.03467068854064129,0.11960225774817732
FXI,-0.009346203015445264,-0.13426964087458518,-0.0012871181597509324
GE,0.0021441889192437354,0.039168344255326504,-0.03555019339614731
GILD,-0.002845715239829507,0.0677857717865508,0.09722666560262531
GIS,0.0015830812589696583,-0.03036032300937674,-0.08711393187242411
GLDM,-0.008002773524446425,-0.11911458307973784,-0.0649125165559698
GOOG,0.004074077308727731,-0.16448927002771094,-0.043513612576256244
GOOGL,-0.0036229548786136786,0.05103851377697521,0.013555558737375411
GS,-0.0007925560894528786,-0.09369825770738334,-0.03195937617207578
HD,3.815274389921859e-05,0.11953862044122858,0.09008412354677678
HON,-0.002324134495089584,0.0741357843653403,0.011781283879180255
HUM,-0.0010474805500328638,-0.11231164365422057,-0.04610693608215339
HYG,0.0062119520362354415,0.0868177706500323,-0.009407253017274806
IBB,0.008548117492169686,-0.06747034944767535,-0.00857073377789431
IBM,-0.0005558488526598747,0.08670097506313103,0.08549991250672945
ICSH,0.5844186740823321,0.07515835998233146,0.03914871095197287
IEF,0.1565717682193301,0.06919648248629355,-0.009158212365788922
INDA,-0.004970125497370577,0.05636680931879291,0.012242673451264584
INTC,-0.0008476796322230051,0.14550627752727394,0.08684612084027142
ISRG,-0.0011948101920127348,0.08313456805882617,0.023485344514058547
ITA,-0.003424600934292907,0.1972685605789869,0.019603414881833453
ITW,0.003138779145731067,-0.16882241884407995,-0.056737419061919266
IVV,0.02858806315779601,-0.10989717594908736,-0.015001316976545689
IWM,-0.0024397758108211784,0.034654668717037776,0.05712866587788467
IYR,0.010733755475119004,0.23035349855475376,0.08582873815984904
JNJ,-0.007614776176266193,0.10708842191083479,0.0038263944931680787
JPM,-0.0020861764533230123,-0.10048153522735935,-0.04580575908778723
JPST,0.3851681565958593,-0.15515713373647227,0.024663785964056897
KHC,0.0007055826808706488,0.053499757058425704,0.026013333659637157
KMB,0.001141144804450763,-0.1067860011322603,-0.01700742767274039
KMI,0.003499905217963455,0.06970106790982002,0.0039291157726994725
KO,0.00020852632883472467,0.033483906375177744,0.039812750993484386
KRE,-0.001514146006017554,-0.05720606854763853,-0.05918996195315751
LLY,0.002706551160408858,0.08246753181631228,-0.0010889980187601721
LMT,-4.92167644267142e-05,-0.010967325765822841,0.01733302153482634
LOW,0.00408635205069132,0.016217490154956767,-0.04197853164349024
LQD,0.011487743022942407,0.04332409576197167,0.07935130236639787
MCD,-0.000560258478404741,0.024243870568443248,-0.012028510691956854
MDT,-0.0007135932206563696,0.080779672726152,0.07636542958287655
META,-0.00048135573317165814,-0.055380954149251926,-0.16212381941748946
MMM,0.0008414223715598774,-0.02134689329097342,-0.002998648160550936
MO,-0.0056304443326734635,0.040563155567086,0.01162083289301163
